TAMANHO;NOME;OBJETO;TIPO;FOTO;FUNDO;LOCAL;PERIODO;NOME_FINAL
3366118;DSCN8664.JPG;CELULAR;1;2;ASSOALHO;INTERNO;NOITE;CELULAR_1_2_ASSOALHO_INTERNO_NOITE_DSCN8664.JPG
2879215;DSCN8033.JPG;CELULAR;1;2;BRANCO;EXTERNO;DIA;CELULAR_1_2_BRANCO_EXTERNO_DIA_DSCN8033.JPG
3036083;DSCN9320.JPG;CELULAR;1;2;BRANCO;EXTERNO;NOITE;CELULAR_1_2_BRANCO_EXTERNO_NOITE_DSCN9320.JPG
2995837;DSCN8494.JPG;CELULAR;1;2;BRANCO;INTERNO;DIA;CELULAR_1_2_BRANCO_INTERNO_DIA_DSCN8494.JPG
2985346;DSCN8949.JPG;CELULAR;1;2;BRANCO;INTERNO;NOITE;CELULAR_1_2_BRANCO_INTERNO_NOITE_DSCN8949.JPG
3211364;DSCN7775.JPG;CELULAR;1;2;PEDRA;EXTERNO;DIA;CELULAR_1_2_PEDRA_EXTERNO_DIA_DSCN7775.JPG
3311704;DSCN9398.JPG;CELULAR;1;2;PEDRA;EXTERNO;NOITE;CELULAR_1_2_PEDRA_EXTERNO_NOITE_DSCN9398.JPG
3303271;DSCN7907.JPG;CELULAR;1;2;TAPETE;EXTERNO;DIA;CELULAR_1_2_TAPETE_EXTERNO_DIA_DSCN7907.JPG
3244862;DSCN9359.JPG;CELULAR;1;2;TAPETE;EXTERNO;NOITE;CELULAR_1_2_TAPETE_EXTERNO_NOITE_DSCN9359.JPG
3217770;DSCN8362.JPG;CELULAR;1;2;TAPETE;INTERNO;DIA;CELULAR_1_2_TAPETE_INTERNO_DIA_DSCN8362.JPG
3273265;DSCN8805.JPG;CELULAR;1;2;TAPETE;INTERNO;NOITE;CELULAR_1_2_TAPETE_INTERNO_NOITE_DSCN8805.JPG
3283908;DSCN8208.JPG;CELULAR;1;3;ASSOALHO;INTERNO;DIA;CELULAR_1_3_ASSOALHO_INTERNO_DIA_DSCN8208.JPG
3214501;DSCN8665.JPG;CELULAR;1;3;ASSOALHO;INTERNO;NOITE;CELULAR_1_3_ASSOALHO_INTERNO_NOITE_DSCN8665.JPG
2890500;DSCN8034.JPG;CELULAR;1;3;BRANCO;EXTERNO;DIA;CELULAR_1_3_BRANCO_EXTERNO_DIA_DSCN8034.JPG
3004094;DSCN9321.JPG;CELULAR;1;3;BRANCO;EXTERNO;NOITE;CELULAR_1_3_BRANCO_EXTERNO_NOITE_DSCN9321.JPG
3005727;DSCN8495.JPG;CELULAR;1;3;BRANCO;INTERNO;DIA;CELULAR_1_3_BRANCO_INTERNO_DIA_DSCN8495.JPG
2982511;DSCN8950.JPG;CELULAR;1;3;BRANCO;INTERNO;NOITE;CELULAR_1_3_BRANCO_INTERNO_NOITE_DSCN8950.JPG
3158640;DSCN7776.JPG;CELULAR;1;3;PEDRA;EXTERNO;DIA;CELULAR_1_3_PEDRA_EXTERNO_DIA_DSCN7776.JPG
3204120;DSCN9399.JPG;CELULAR;1;3;PEDRA;EXTERNO;NOITE;CELULAR_1_3_PEDRA_EXTERNO_NOITE_DSCN9399.JPG
3315064;DSCN7908.JPG;CELULAR;1;3;TAPETE;EXTERNO;DIA;CELULAR_1_3_TAPETE_EXTERNO_DIA_DSCN7908.JPG
3200310;DSCN9360.JPG;CELULAR;1;3;TAPETE;EXTERNO;NOITE;CELULAR_1_3_TAPETE_EXTERNO_NOITE_DSCN9360.JPG
3246281;DSCN8363.JPG;CELULAR;1;3;TAPETE;INTERNO;DIA;CELULAR_1_3_TAPETE_INTERNO_DIA_DSCN8363.JPG
3197634;DSCN8806.JPG;CELULAR;1;3;TAPETE;INTERNO;NOITE;CELULAR_1_3_TAPETE_INTERNO_NOITE_DSCN8806.JPG
3066328;DSCN8209.JPG;CELULAR;2;1;ASSOALHO;INTERNO;DIA;CELULAR_2_1_ASSOALHO_INTERNO_DIA_DSCN8209.JPG
3075044;DSCN8666.JPG;CELULAR;2;1;ASSOALHO;INTERNO;NOITE;CELULAR_2_1_ASSOALHO_INTERNO_NOITE_DSCN8666.JPG
2897895;DSCN8035.JPG;CELULAR;2;1;BRANCO;EXTERNO;DIA;CELULAR_2_1_BRANCO_EXTERNO_DIA_DSCN8035.JPG
3059233;DSCN9322.JPG;CELULAR;2;1;BRANCO;EXTERNO;NOITE;CELULAR_2_1_BRANCO_EXTERNO_NOITE_DSCN9322.JPG
3026122;DSCN8502.JPG;CELULAR;2;1;BRANCO;INTERNO;DIA;CELULAR_2_1_BRANCO_INTERNO_DIA_DSCN8502.JPG
2998435;DSCN8951.JPG;CELULAR;2;1;BRANCO;INTERNO;NOITE;CELULAR_2_1_BRANCO_INTERNO_NOITE_DSCN8951.JPG
3309467;DSCN7780.JPG;CELULAR;2;1;PEDRA;EXTERNO;DIA;CELULAR_2_1_PEDRA_EXTERNO_DIA_DSCN7780.JPG
3353452;DSCN9400.JPG;CELULAR;2;1;PEDRA;EXTERNO;NOITE;CELULAR_2_1_PEDRA_EXTERNO_NOITE_DSCN9400.JPG
3196538;DSCN7909.JPG;CELULAR;2;1;TAPETE;EXTERNO;DIA;CELULAR_2_1_TAPETE_EXTERNO_DIA_DSCN7909.JPG
3203549;DSCN9361.JPG;CELULAR;2;1;TAPETE;EXTERNO;NOITE;CELULAR_2_1_TAPETE_EXTERNO_NOITE_DSCN9361.JPG
3299531;DSCN8370.JPG;CELULAR;2;1;TAPETE;INTERNO;DIA;CELULAR_2_1_TAPETE_INTERNO_DIA_DSCN8370.JPG
3197761;DSCN8807.JPG;CELULAR;2;1;TAPETE;INTERNO;NOITE;CELULAR_2_1_TAPETE_INTERNO_NOITE_DSCN8807.JPG
3039156;DSCN8210.JPG;CELULAR;2;2;ASSOALHO;INTERNO;DIA;CELULAR_2_2_ASSOALHO_INTERNO_DIA_DSCN8210.JPG
3083401;DSCN8667.JPG;CELULAR;2;2;ASSOALHO;INTERNO;NOITE;CELULAR_2_2_ASSOALHO_INTERNO_NOITE_DSCN8667.JPG
2903396;DSCN8036.JPG;CELULAR;2;2;BRANCO;EXTERNO;DIA;CELULAR_2_2_BRANCO_EXTERNO_DIA_DSCN8036.JPG
3040675;DSCN9323.JPG;CELULAR;2;2;BRANCO;EXTERNO;NOITE;CELULAR_2_2_BRANCO_EXTERNO_NOITE_DSCN9323.JPG
3026913;DSCN8503.JPG;CELULAR;2;2;BRANCO;INTERNO;DIA;CELULAR_2_2_BRANCO_INTERNO_DIA_DSCN8503.JPG
2997018;DSCN8952.JPG;CELULAR;2;2;BRANCO;INTERNO;NOITE;CELULAR_2_2_BRANCO_INTERNO_NOITE_DSCN8952.JPG
3368680;DSCN7781.JPG;CELULAR;2;2;PEDRA;EXTERNO;DIA;CELULAR_2_2_PEDRA_EXTERNO_DIA_DSCN7781.JPG
3238237;DSCN9401.JPG;CELULAR;2;2;PEDRA;EXTERNO;NOITE;CELULAR_2_2_PEDRA_EXTERNO_NOITE_DSCN9401.JPG
3263191;DSCN7910.JPG;CELULAR;2;2;TAPETE;EXTERNO;DIA;CELULAR_2_2_TAPETE_EXTERNO_DIA_DSCN7910.JPG
3256410;DSCN9362.JPG;CELULAR;2;2;TAPETE;EXTERNO;NOITE;CELULAR_2_2_TAPETE_EXTERNO_NOITE_DSCN9362.JPG
3296574;DSCN8371.JPG;CELULAR;2;2;TAPETE;INTERNO;DIA;CELULAR_2_2_TAPETE_INTERNO_DIA_DSCN8371.JPG
3268365;DSCN8808.JPG;CELULAR;2;2;TAPETE;INTERNO;NOITE;CELULAR_2_2_TAPETE_INTERNO_NOITE_DSCN8808.JPG
3067256;DSCN8211.JPG;CELULAR;2;3;ASSOALHO;INTERNO;DIA;CELULAR_2_3_ASSOALHO_INTERNO_DIA_DSCN8211.JPG
3057762;DSCN8668.JPG;CELULAR;2;3;ASSOALHO;INTERNO;NOITE;CELULAR_2_3_ASSOALHO_INTERNO_NOITE_DSCN8668.JPG
2889770;DSCN8037.JPG;CELULAR;2;3;BRANCO;EXTERNO;DIA;CELULAR_2_3_BRANCO_EXTERNO_DIA_DSCN8037.JPG
3033233;DSCN9324.JPG;CELULAR;2;3;BRANCO;EXTERNO;NOITE;CELULAR_2_3_BRANCO_EXTERNO_NOITE_DSCN9324.JPG
3024267;DSCN8504.JPG;CELULAR;2;3;BRANCO;INTERNO;DIA;CELULAR_2_3_BRANCO_INTERNO_DIA_DSCN8504.JPG
3027725;DSCN8953.JPG;CELULAR;2;3;BRANCO;INTERNO;NOITE;CELULAR_2_3_BRANCO_INTERNO_NOITE_DSCN8953.JPG
3214031;DSCN7782.JPG;CELULAR;2;3;PEDRA;EXTERNO;DIA;CELULAR_2_3_PEDRA_EXTERNO_DIA_DSCN7782.JPG
3281740;DSCN9402.JPG;CELULAR;2;3;PEDRA;EXTERNO;NOITE;CELULAR_2_3_PEDRA_EXTERNO_NOITE_DSCN9402.JPG
3204580;DSCN7911.JPG;CELULAR;2;3;TAPETE;EXTERNO;DIA;CELULAR_2_3_TAPETE_EXTERNO_DIA_DSCN7911.JPG
3311290;DSCN9363.JPG;CELULAR;2;3;TAPETE;EXTERNO;NOITE;CELULAR_2_3_TAPETE_EXTERNO_NOITE_DSCN9363.JPG
3199492;DSCN8372.JPG;CELULAR;2;3;TAPETE;INTERNO;DIA;CELULAR_2_3_TAPETE_INTERNO_DIA_DSCN8372.JPG
3309512;DSCN8809.JPG;CELULAR;2;3;TAPETE;INTERNO;NOITE;CELULAR_2_3_TAPETE_INTERNO_NOITE_DSCN8809.JPG
3097982;DSCN8203.JPG;CELULAR;3;1;ASSOALHO;INTERNO;DIA;CELULAR_3_1_ASSOALHO_INTERNO_DIA_DSCN8203.JPG
3305531;DSCN8672.JPG;CELULAR;3;1;ASSOALHO;INTERNO;NOITE;CELULAR_3_1_ASSOALHO_INTERNO_NOITE_DSCN8672.JPG
2900157;DSCN8038.JPG;CELULAR;3;1;BRANCO;EXTERNO;DIA;CELULAR_3_1_BRANCO_EXTERNO_DIA_DSCN8038.JPG
3015536;DSCN9328.JPG;CELULAR;3;1;BRANCO;EXTERNO;NOITE;CELULAR_3_1_BRANCO_EXTERNO_NOITE_DSCN9328.JPG
3007291;DSCN8496.JPG;CELULAR;3;1;BRANCO;INTERNO;DIA;CELULAR_3_1_BRANCO_INTERNO_DIA_DSCN8496.JPG
2998778;DSCN8957.JPG;CELULAR;3;1;BRANCO;INTERNO;NOITE;CELULAR_3_1_BRANCO_INTERNO_NOITE_DSCN8957.JPG
3328459;DSCN7777.JPG;CELULAR;3;1;PEDRA;EXTERNO;DIA;CELULAR_3_1_PEDRA_EXTERNO_DIA_DSCN7777.JPG
3302337;DSCN9406.JPG;CELULAR;3;1;PEDRA;EXTERNO;NOITE;CELULAR_3_1_PEDRA_EXTERNO_NOITE_DSCN9406.JPG
3251855;DSCN7903.JPG;CELULAR;3;1;TAPETE;EXTERNO;DIA;CELULAR_3_1_TAPETE_EXTERNO_DIA_DSCN7903.JPG
3284792;DSCN9367.JPG;CELULAR;3;1;TAPETE;EXTERNO;NOITE;CELULAR_3_1_TAPETE_EXTERNO_NOITE_DSCN9367.JPG
3239284;DSCN8364.JPG;CELULAR;3;1;TAPETE;INTERNO;DIA;CELULAR_3_1_TAPETE_INTERNO_DIA_DSCN8364.JPG
3267659;DSCN8813.JPG;CELULAR;3;1;TAPETE;INTERNO;NOITE;CELULAR_3_1_TAPETE_INTERNO_NOITE_DSCN8813.JPG
3184750;DSCN8204.JPG;CELULAR;3;2;ASSOALHO;INTERNO;DIA;CELULAR_3_2_ASSOALHO_INTERNO_DIA_DSCN8204.JPG
3209914;DSCN8673.JPG;CELULAR;3;2;ASSOALHO;INTERNO;NOITE;CELULAR_3_2_ASSOALHO_INTERNO_NOITE_DSCN8673.JPG
2888464;DSCN8039.JPG;CELULAR;3;2;BRANCO;EXTERNO;DIA;CELULAR_3_2_BRANCO_EXTERNO_DIA_DSCN8039.JPG
2989621;DSCN9329.JPG;CELULAR;3;2;BRANCO;EXTERNO;NOITE;CELULAR_3_2_BRANCO_EXTERNO_NOITE_DSCN9329.JPG
3017657;DSCN8497.JPG;CELULAR;3;2;BRANCO;INTERNO;DIA;CELULAR_3_2_BRANCO_INTERNO_DIA_DSCN8497.JPG
2989847;DSCN8958.JPG;CELULAR;3;2;BRANCO;INTERNO;NOITE;CELULAR_3_2_BRANCO_INTERNO_NOITE_DSCN8958.JPG
3357295;DSCN7778.JPG;CELULAR;3;2;PEDRA;EXTERNO;DIA;CELULAR_3_2_PEDRA_EXTERNO_DIA_DSCN7778.JPG
3239388;DSCN9407.JPG;CELULAR;3;2;PEDRA;EXTERNO;NOITE;CELULAR_3_2_PEDRA_EXTERNO_NOITE_DSCN9407.JPG
3237414;DSCN7904.JPG;CELULAR;3;2;TAPETE;EXTERNO;DIA;CELULAR_3_2_TAPETE_EXTERNO_DIA_DSCN7904.JPG
3272464;DSCN9368.JPG;CELULAR;3;2;TAPETE;EXTERNO;NOITE;CELULAR_3_2_TAPETE_EXTERNO_NOITE_DSCN9368.JPG
3226482;DSCN8365.JPG;CELULAR;3;2;TAPETE;INTERNO;DIA;CELULAR_3_2_TAPETE_INTERNO_DIA_DSCN8365.JPG
3219860;DSCN8814.JPG;CELULAR;3;2;TAPETE;INTERNO;NOITE;CELULAR_3_2_TAPETE_INTERNO_NOITE_DSCN8814.JPG
3261817;DSCN8205.JPG;CELULAR;3;3;ASSOALHO;INTERNO;DIA;CELULAR_3_3_ASSOALHO_INTERNO_DIA_DSCN8205.JPG
3293752;DSCN8674.JPG;CELULAR;3;3;ASSOALHO;INTERNO;NOITE;CELULAR_3_3_ASSOALHO_INTERNO_NOITE_DSCN8674.JPG
2888269;DSCN8040.JPG;CELULAR;3;3;BRANCO;EXTERNO;DIA;CELULAR_3_3_BRANCO_EXTERNO_DIA_DSCN8040.JPG
3048126;DSCN9330.JPG;CELULAR;3;3;BRANCO;EXTERNO;NOITE;CELULAR_3_3_BRANCO_EXTERNO_NOITE_DSCN9330.JPG
3016124;DSCN8498.JPG;CELULAR;3;3;BRANCO;INTERNO;DIA;CELULAR_3_3_BRANCO_INTERNO_DIA_DSCN8498.JPG
3004896;DSCN8959.JPG;CELULAR;3;3;BRANCO;INTERNO;NOITE;CELULAR_3_3_BRANCO_INTERNO_NOITE_DSCN8959.JPG
3265816;DSCN7779.JPG;CELULAR;3;3;PEDRA;EXTERNO;DIA;CELULAR_3_3_PEDRA_EXTERNO_DIA_DSCN7779.JPG
3309143;DSCN9408.JPG;CELULAR;3;3;PEDRA;EXTERNO;NOITE;CELULAR_3_3_PEDRA_EXTERNO_NOITE_DSCN9408.JPG
3219644;DSCN7905.JPG;CELULAR;3;3;TAPETE;EXTERNO;DIA;CELULAR_3_3_TAPETE_EXTERNO_DIA_DSCN7905.JPG
3288759;DSCN9369.JPG;CELULAR;3;3;TAPETE;EXTERNO;NOITE;CELULAR_3_3_TAPETE_EXTERNO_NOITE_DSCN9369.JPG
3278051;DSCN8366.JPG;CELULAR;3;3;TAPETE;INTERNO;DIA;CELULAR_3_3_TAPETE_INTERNO_DIA_DSCN8366.JPG
3275536;DSCN8815.JPG;CELULAR;3;3;TAPETE;INTERNO;NOITE;CELULAR_3_3_TAPETE_INTERNO_NOITE_DSCN8815.JPG
3202057;DSCN8212.JPG;CELULAR;4;1;ASSOALHO;INTERNO;DIA;CELULAR_4_1_ASSOALHO_INTERNO_DIA_DSCN8212.JPG
3362535;DSCN8669.JPG;CELULAR;4;1;ASSOALHO;INTERNO;NOITE;CELULAR_4_1_ASSOALHO_INTERNO_NOITE_DSCN8669.JPG
2989257;DSCN8041.JPG;CELULAR;4;1;BRANCO;EXTERNO;DIA;CELULAR_4_1_BRANCO_EXTERNO_DIA_DSCN8041.JPG
3075509;DSCN9325.JPG;CELULAR;4;1;BRANCO;EXTERNO;NOITE;CELULAR_4_1_BRANCO_EXTERNO_NOITE_DSCN9325.JPG
3063854;DSCN8499.JPG;CELULAR;4;1;BRANCO;INTERNO;DIA;CELULAR_4_1_BRANCO_INTERNO_DIA_DSCN8499.JPG
2997033;DSCN8954.JPG;CELULAR;4;1;BRANCO;INTERNO;NOITE;CELULAR_4_1_BRANCO_INTERNO_NOITE_DSCN8954.JPG
3300666;DSCN7783.JPG;CELULAR;4;1;PEDRA;EXTERNO;DIA;CELULAR_4_1_PEDRA_EXTERNO_DIA_DSCN7783.JPG
3251585;DSCN9403.JPG;CELULAR;4;1;PEDRA;EXTERNO;NOITE;CELULAR_4_1_PEDRA_EXTERNO_NOITE_DSCN9403.JPG
3330915;DSCN7912.JPG;CELULAR;4;1;TAPETE;EXTERNO;DIA;CELULAR_4_1_TAPETE_EXTERNO_DIA_DSCN7912.JPG
3165339;DSCN9364.JPG;CELULAR;4;1;TAPETE;EXTERNO;NOITE;CELULAR_4_1_TAPETE_EXTERNO_NOITE_DSCN9364.JPG
3305065;DSCN8367.JPG;CELULAR;4;1;TAPETE;INTERNO;DIA;CELULAR_4_1_TAPETE_INTERNO_DIA_DSCN8367.JPG
3079401;DSCN8810.JPG;CELULAR;4;1;TAPETE;INTERNO;NOITE;CELULAR_4_1_TAPETE_INTERNO_NOITE_DSCN8810.JPG
2936458;DSCN8213.JPG;CELULAR;4;2;ASSOALHO;INTERNO;DIA;CELULAR_4_2_ASSOALHO_INTERNO_DIA_DSCN8213.JPG
3183420;DSCN8670.JPG;CELULAR;4;2;ASSOALHO;INTERNO;NOITE;CELULAR_4_2_ASSOALHO_INTERNO_NOITE_DSCN8670.JPG
2984236;DSCN8042.JPG;CELULAR;4;2;BRANCO;EXTERNO;DIA;CELULAR_4_2_BRANCO_EXTERNO_DIA_DSCN8042.JPG
3095624;DSCN9326.JPG;CELULAR;4;2;BRANCO;EXTERNO;NOITE;CELULAR_4_2_BRANCO_EXTERNO_NOITE_DSCN9326.JPG
3065836;DSCN8500.JPG;CELULAR;4;2;BRANCO;INTERNO;DIA;CELULAR_4_2_BRANCO_INTERNO_DIA_DSCN8500.JPG
3000491;DSCN8955.JPG;CELULAR;4;2;BRANCO;INTERNO;NOITE;CELULAR_4_2_BRANCO_INTERNO_NOITE_DSCN8955.JPG
3191466;DSCN7784.JPG;CELULAR;4;2;PEDRA;EXTERNO;DIA;CELULAR_4_2_PEDRA_EXTERNO_DIA_DSCN7784.JPG
3266602;DSCN9404.JPG;CELULAR;4;2;PEDRA;EXTERNO;NOITE;CELULAR_4_2_PEDRA_EXTERNO_NOITE_DSCN9404.JPG
3239595;DSCN7913.JPG;CELULAR;4;2;TAPETE;EXTERNO;DIA;CELULAR_4_2_TAPETE_EXTERNO_DIA_DSCN7913.JPG
3288160;DSCN9365.JPG;CELULAR;4;2;TAPETE;EXTERNO;NOITE;CELULAR_4_2_TAPETE_EXTERNO_NOITE_DSCN9365.JPG
3180969;DSCN8368.JPG;CELULAR;4;2;TAPETE;INTERNO;DIA;CELULAR_4_2_TAPETE_INTERNO_DIA_DSCN8368.JPG
3262613;DSCN8811.JPG;CELULAR;4;2;TAPETE;INTERNO;NOITE;CELULAR_4_2_TAPETE_INTERNO_NOITE_DSCN8811.JPG
3279128;DSCN8214.JPG;CELULAR;4;3;ASSOALHO;INTERNO;DIA;CELULAR_4_3_ASSOALHO_INTERNO_DIA_DSCN8214.JPG
3248737;DSCN8671.JPG;CELULAR;4;3;ASSOALHO;INTERNO;NOITE;CELULAR_4_3_ASSOALHO_INTERNO_NOITE_DSCN8671.JPG
2989439;DSCN8044.JPG;CELULAR;4;3;BRANCO;EXTERNO;DIA;CELULAR_4_3_BRANCO_EXTERNO_DIA_DSCN8044.JPG
3049914;DSCN9327.JPG;CELULAR;4;3;BRANCO;EXTERNO;NOITE;CELULAR_4_3_BRANCO_EXTERNO_NOITE_DSCN9327.JPG
3060620;DSCN8501.JPG;CELULAR;4;3;BRANCO;INTERNO;DIA;CELULAR_4_3_BRANCO_INTERNO_DIA_DSCN8501.JPG
3001009;DSCN8956.JPG;CELULAR;4;3;BRANCO;INTERNO;NOITE;CELULAR_4_3_BRANCO_INTERNO_NOITE_DSCN8956.JPG
3328214;DSCN7785.JPG;CELULAR;4;3;PEDRA;EXTERNO;DIA;CELULAR_4_3_PEDRA_EXTERNO_DIA_DSCN7785.JPG
3268568;DSCN9405.JPG;CELULAR;4;3;PEDRA;EXTERNO;NOITE;CELULAR_4_3_PEDRA_EXTERNO_NOITE_DSCN9405.JPG
3331866;DSCN7914.JPG;CELULAR;4;3;TAPETE;EXTERNO;DIA;CELULAR_4_3_TAPETE_EXTERNO_DIA_DSCN7914.JPG
3291600;DSCN9366.JPG;CELULAR;4;3;TAPETE;EXTERNO;NOITE;CELULAR_4_3_TAPETE_EXTERNO_NOITE_DSCN9366.JPG
3256612;DSCN8369.JPG;CELULAR;4;3;TAPETE;INTERNO;DIA;CELULAR_4_3_TAPETE_INTERNO_DIA_DSCN8369.JPG
3340872;DSCN8812.JPG;CELULAR;4;3;TAPETE;INTERNO;NOITE;CELULAR_4_3_TAPETE_INTERNO_NOITE_DSCN8812.JPG
3183407;DSCN8138.JPG;COLHER;1;1;ASSOALHO;INTERNO;DIA;COLHER_1_1_ASSOALHO_INTERNO_DIA_DSCN8138.JPG
3119108;DSCN8593.JPG;COLHER;1;1;ASSOALHO;INTERNO;NOITE;COLHER_1_1_ASSOALHO_INTERNO_NOITE_DSCN8593.JPG
3022518;DSCN7961.JPG;COLHER;1;1;BRANCO;EXTERNO;DIA;COLHER_1_1_BRANCO_EXTERNO_DIA_DSCN7961.JPG
3176717;DSCN9217.JPG;COLHER;1;1;BRANCO;EXTERNO;NOITE;COLHER_1_1_BRANCO_EXTERNO_NOITE_DSCN9217.JPG
3075627;DSCN8421.JPG;COLHER;1;1;BRANCO;INTERNO;DIA;COLHER_1_1_BRANCO_INTERNO_DIA_DSCN8421.JPG
3017065;DSCN8875.JPG;COLHER;1;1;BRANCO;INTERNO;NOITE;COLHER_1_1_BRANCO_INTERNO_NOITE_DSCN8875.JPG
3248708;DSCN7701.JPG;COLHER;1;1;PEDRA;EXTERNO;DIA;COLHER_1_1_PEDRA_EXTERNO_DIA_DSCN7701.JPG
3299723;DSCN9025.JPG;COLHER;1;1;PEDRA;EXTERNO;NOITE;COLHER_1_1_PEDRA_EXTERNO_NOITE_DSCN9025.JPG
3360129;DSCN7832.JPG;COLHER;1;1;TAPETE;EXTERNO;DIA;COLHER_1_1_TAPETE_EXTERNO_DIA_DSCN7832.JPG
3167968;DSCN9118.JPG;COLHER;1;1;TAPETE;EXTERNO;NOITE;COLHER_1_1_TAPETE_EXTERNO_NOITE_DSCN9118.JPG
3369259;DSCN8288.JPG;COLHER;1;1;TAPETE;INTERNO;DIA;COLHER_1_1_TAPETE_INTERNO_DIA_DSCN8288.JPG
3217147;DSCN8732.JPG;COLHER;1;1;TAPETE;INTERNO;NOITE;COLHER_1_1_TAPETE_INTERNO_NOITE_DSCN8732.JPG
3269974;DSCN8139.JPG;COLHER;1;2;ASSOALHO;INTERNO;DIA;COLHER_1_2_ASSOALHO_INTERNO_DIA_DSCN8139.JPG
3210560;DSCN8594.JPG;COLHER;1;2;ASSOALHO;INTERNO;NOITE;COLHER_1_2_ASSOALHO_INTERNO_NOITE_DSCN8594.JPG
3013730;DSCN7962.JPG;COLHER;1;2;BRANCO;EXTERNO;DIA;COLHER_1_2_BRANCO_EXTERNO_DIA_DSCN7962.JPG
3180886;DSCN9218.JPG;COLHER;1;2;BRANCO;EXTERNO;NOITE;COLHER_1_2_BRANCO_EXTERNO_NOITE_DSCN9218.JPG
3079980;DSCN8422.JPG;COLHER;1;2;BRANCO;INTERNO;DIA;COLHER_1_2_BRANCO_INTERNO_DIA_DSCN8422.JPG
3021602;DSCN8876.JPG;COLHER;1;2;BRANCO;INTERNO;NOITE;COLHER_1_2_BRANCO_INTERNO_NOITE_DSCN8876.JPG
3268186;DSCN7702.JPG;COLHER;1;2;PEDRA;EXTERNO;DIA;COLHER_1_2_PEDRA_EXTERNO_DIA_DSCN7702.JPG
3346276;DSCN9026.JPG;COLHER;1;2;PEDRA;EXTERNO;NOITE;COLHER_1_2_PEDRA_EXTERNO_NOITE_DSCN9026.JPG
3246820;DSCN7833.JPG;COLHER;1;2;TAPETE;EXTERNO;DIA;COLHER_1_2_TAPETE_EXTERNO_DIA_DSCN7833.JPG
3160729;DSCN9119.JPG;COLHER;1;2;TAPETE;EXTERNO;NOITE;COLHER_1_2_TAPETE_EXTERNO_NOITE_DSCN9119.JPG
3258216;DSCN8289.JPG;COLHER;1;2;TAPETE;INTERNO;DIA;COLHER_1_2_TAPETE_INTERNO_DIA_DSCN8289.JPG
3150738;DSCN8733.JPG;COLHER;1;2;TAPETE;INTERNO;NOITE;COLHER_1_2_TAPETE_INTERNO_NOITE_DSCN8733.JPG
3166905;DSCN8140.JPG;COLHER;1;3;ASSOALHO;INTERNO;DIA;COLHER_1_3_ASSOALHO_INTERNO_DIA_DSCN8140.JPG
3291494;DSCN8595.JPG;COLHER;1;3;ASSOALHO;INTERNO;NOITE;COLHER_1_3_ASSOALHO_INTERNO_NOITE_DSCN8595.JPG
3016519;DSCN7963.JPG;COLHER;1;3;BRANCO;EXTERNO;DIA;COLHER_1_3_BRANCO_EXTERNO_DIA_DSCN7963.JPG
3189284;DSCN9219.JPG;COLHER;1;3;BRANCO;EXTERNO;NOITE;COLHER_1_3_BRANCO_EXTERNO_NOITE_DSCN9219.JPG
